# Stato di supabase_migrations.schema_migrations PRIMA del repair del
# 28/8/2026 (BRIEF "La baseline dello schema fondativo", §Passo 3).
#
# Letto per intero via `select version, name from supabase_migrations.
# schema_migrations order by version` immediatamente prima di registrare la
# baseline come applicata. Se il repair andasse storto, questo file è
# l'unico modo di sapere com'era il registro prima.
#
# Formato: version|name — una riga per voce, ordine originale (per version).
# Totale righe: 304.

20260421064913|enable_citext
20260421064953|initial_schema
20260421065012|realtime_setup
20260421070559|add_collaboratore_role_and_documents
20260421070856|add_courses_gokollab_migration
20260422063054|m10_funzioni_helper
20260422063111|m11_forum_reazione_bacheca
20260422063136|m12_dizionario_audio
20260422063209|m13_sala_direttivo
20260422063251|m14_andreas_ai
20260422063327|m15_andreas_kb_pgvector
20260422063359|m16_andreas_bot_roadmap
20260422090213|m17_articolo_wp_import
20260422100938|m18_enable_http_extension
20260422115031|m19_enable_pg_net
20260422115131|m20_tmp_staging_articolo
20260422152008|m21_reclassify_pilastri
20260422152131|m22_reclassify_pilastri_v2
20260422152442|m23_auth_otp
20260422153017|m21_classifica_pilastro_function
20260422153048|m21_classifica_pilastro_v2
20260422153156|m21_classifica_pilastro_v3
20260422153345|m22_auth_otp_functions
20260422155952|m23_enable_pg_cron
20260422160041|m24_rls_policies_missing_tables
20260422164143|m25_reminder_super_admin
20260422164526|m26_config_app_e_branding
20260423061316|m27_storage_assets_pubblici_policies
20260501142038|m_a_0_create_ai_rate_limit_pubblico
20260501143842|m_a_0_add_ruolo_pubblico
20260513195218|enable_rls_public_tables_security_fix
20260518130328|fix_security_definer_view_vista_ai_statistiche
20260518130821|harden_function_search_path_public_funcs
20260518130904|revoke_execute_internal_functions_from_public_anon_auth
20260522061704|add_indexes_on_unindexed_foreign_keys
20260522062111|wrap_auth_uid_in_rls_policies_for_initplan
20260522064246|rls_policies_for_orphan_tables_and_drop_tmp
20260522070849|revoke_execute_on_internal_rpcs_used_only_by_edge_functions
20260707130000|pagamenti_tesseramento
20260707150000|ricevute_bonifico
20260707200000|domande_tesseramento
20260709170000|convenzioni
20260710123132|tessere_qr_wallet_logo_convenzioni
20260710152523|pagamenti_tipo_integrazione
